기준월,사업장,지역,총인원,정규직,계약직,신규채용,퇴직자,평균급여(천원),연장근무시간,연차사용률(%),산재보험료(천원),고용보험료(천원),건강검진수검률(%),노사분쟁건수
2023-01,수원사업장,수,90,74,16,2,1,4349,161,66,715,502,72,1
2023-02,수원사업장,수,42,34,8,6,0,3828,167,63,1880,1109,80,0
2023-03,수원사업장,수,85,70,15,3,4,5172,294,74,1237,831,79,0
2023-04,수원사업장,수,108,93,15,4,2,4454,325,73,1647,1474,75,2
2023-05,수원사업장,수,34,27,7,1,5,3536,275,62,1295,1464,82,0
2023-06,수원사업장,수,69,61,8,5,4,3614,285,52,1563,1365,77,2
2023-07,수원사업장,수,106,87,19,5,2,3835,267,77,852,1070,96,0
2023-08,수원사업장,수,42,37,5,0,4,4693,290,76,921,1199,76,0
2023-09,수원사업장,수,74,65,9,2,1,4917,259,92,1960,1169,76,2
2023-10,수원사업장,수,111,97,14,5,4,5047,394,51,1747,1024,83,2
2023-11,수원사업장,수,46,37,9,1,3,3947,262,55,966,913,76,1
2023-12,수원사업장,수,92,77,15,6,5,3536,377,53,1415,1363,73,1
2024-01,수원사업장,수,97,80,17,0,3,4417,292,71,973,619,96,1
2024-02,수원사업장,수,79,71,8,6,4,4215,263,84,1447,880,81,2
2024-03,수원사업장,수,58,46,12,5,2,3958,157,72,1953,1237,98,0
2024-04,수원사업장,수,42,37,5,6,4,3656,174,81,1653,1186,83,1
2024-05,수원사업장,수,104,86,18,0,5,4247,191,78,520,802,85,0
2024-06,수원사업장,수,88,78,10,2,0,4976,356,87,1685,1456,72,0
2024-07,수원사업장,수,54,47,7,1,3,3707,126,57,1583,929,94,0
2024-08,수원사업장,수,82,66,16,2,5,5085,298,52,848,1459,81,0
2024-09,수원사업장,수,53,47,6,2,3,5081,114,74,1233,705,76,0
2024-10,수원사업장,수,113,95,18,5,0,4455,313,51,1867,1083,80,0
2024-11,수원사업장,수,110,88,22,1,5,4843,194,87,510,800,94,0
2024-12,수원사업장,수,70,56,14,5,2,4611,140,66,1087,1388,83,2
2023-01,남부사업장,성,109,92,17,3,3,4172,301,89,741,1364,71,0
2023-02,남부사업장,성,62,55,7,5,0,4088,215,75,1417,602,71,1
2023-03,남부사업장,성,119,103,16,1,1,3605,222,55,508,1273,78,2
2023-04,남부사업장,성,61,50,11,3,1,5383,183,56,958,583,85,1
2023-05,남부사업장,성,87,76,11,6,2,4650,396,91,513,1470,87,1
2023-06,남부사업장,성,41,33,8,4,0,4824,342,68,1249,855,82,0
2023-07,남부사업장,성,82,71,11,2,3,5117,310,71,1048,851,93,0
2023-08,남부사업장,성,88,76,12,1,2,3534,192,64,852,1402,81,0
2023-09,남부사업장,성,114,99,15,4,3,4304,103,77,1887,881,89,1
2023-10,남부사업장,성,78,66,12,0,3,4773,216,83,1077,834,71,1
2023-11,남부사업장,성,68,56,12,2,1,4769,224,61,1760,1029,77,0
2023-12,남부사업장,성,44,36,8,1,3,4251,186,91,1439,1025,83,1
2024-01,남부사업장,성,66,58,8,4,0,3817,210,63,1003,730,94,1
2024-02,남부사업장,성,99,85,14,0,0,3527,165,84,1752,760,70,0
2024-03,남부사업장,성,52,43,9,2,1,5230,217,63,1091,1469,98,1
2024-04,남부사업장,성,105,92,13,0,4,4799,363,92,1471,1012,94,1
2024-05,남부사업장,성,113,94,19,2,4,4186,303,86,804,996,93,2
2024-06,남부사업장,성,108,92,16,2,4,5439,229,58,1010,792,89,1
2024-07,남부사업장,성,58,50,8,2,5,3984,344,54,1684,1190,83,1
2024-08,남부사업장,성,49,44,5,7,2,5334,225,83,716,805,98,0
2024-09,남부사업장,성,68,57,11,6,2,4701,393,69,650,883,99,0
2024-10,남부사업장,성,81,70,11,1,3,3874,107,70,628,1275,98,1
2024-11,남부사업장,성,34,30,4,6,1,4716,218,75,926,1469,99,1
2024-12,남부사업장,성,111,95,16,7,0,4087,388,50,1670,786,85,1
2023-01,중부사업장,안,82,71,11,0,1,5481,319,51,1509,1203,75,2
2023-02,중부사업장,안,102,90,12,0,4,4084,344,62,1682,988,80,1
2023-03,중부사업장,안,33,28,5,5,1,5117,378,68,1888,830,70,1
2023-04,중부사업장,안,83,71,12,4,0,4599,298,64,1416,1414,97,0
2023-05,중부사업장,안,118,101,17,7,0,3790,201,75,1790,1366,77,1
2023-06,중부사업장,안,107,92,15,5,0,4526,184,75,827,1315,71,1
2023-07,중부사업장,안,57,45,12,1,0,3511,232,83,803,792,84,2
2023-08,중부사업장,안,72,63,9,5,5,3997,120,72,1118,835,84,0
2023-09,중부사업장,안,44,36,8,2,2,5306,376,62,969,1286,71,1
2023-10,중부사업장,안,97,80,17,3,5,5062,256,77,790,1147,85,1
2023-11,중부사업장,안,65,56,9,1,0,4088,231,75,1868,849,80,2
2023-12,중부사업장,안,103,90,13,6,0,5461,397,85,1607,951,91,2
2024-01,중부사업장,안,83,70,13,7,4,4885,146,62,1386,1417,91,0
2024-02,중부사업장,안,115,98,17,1,0,5306,109,73,877,1132,98,1
2024-03,중부사업장,안,101,88,13,0,1,4358,392,53,549,1163,88,2
2024-04,중부사업장,안,103,90,13,2,3,5493,341,54,1186,1060,72,1
2024-05,중부사업장,안,62,50,12,0,5,4955,392,64,918,1487,76,2
2024-06,중부사업장,안,39,32,7,4,4,3940,353,74,1269,819,72,2
2024-07,중부사업장,안,114,98,16,1,5,4136,266,90,958,1498,93,1
2024-08,중부사업장,안,48,41,7,5,1,3787,266,94,1505,535,77,0
2024-09,중부사업장,안,65,53,12,7,0,5414,169,90,1498,1207,82,0
2024-10,중부사업장,안,89,71,18,4,3,5062,259,70,1275,729,77,1
2024-11,중부사업장,안,96,81,15,4,1,4782,229,72,1695,1269,75,0
2024-12,중부사업장,안,64,55,9,5,3,4787,249,93,1965,1047,74,0
2023-01,안산사업장,안,60,52,8,6,1,3945,257,65,1535,1156,85,2
2023-02,안산사업장,안,45,37,8,6,3,4126,203,54,1771,863,70,0
2023-03,안산사업장,안,59,50,9,5,5,4477,330,81,1684,1283,81,1
2023-04,안산사업장,안,43,34,9,6,1,4248,165,90,840,1269,96,0
2023-05,안산사업장,안,102,86,16,2,3,5225,253,53,1989,810,75,2
2023-06,안산사업장,안,51,43,8,5,3,4624,343,91,511,738,86,1
2023-07,안산사업장,안,67,59,8,2,5,4739,257,63,633,566,85,2
2023-08,안산사업장,안,81,71,10,6,4,5198,165,76,629,1430,87,1
2023-09,안산사업장,안,49,42,7,1,0,5485,380,82,663,594,83,0
2023-10,안산사업장,안,109,95,14,4,3,4398,124,62,1640,981,77,0
2023-11,안산사업장,안,97,78,19,3,4,5479,111,81,627,1107,97,0
2023-12,안산사업장,안,60,51,9,1,4,5351,259,78,542,753,71,2
2024-01,안산사업장,안,112,93,19,4,2,5453,365,74,1141,881,80,1
2024-02,안산사업장,안,60,52,8,0,2,5428,198,70,1852,655,99,1
2024-03,안산사업장,안,36,31,5,3,0,4783,359,88,1284,600,76,0
2024-04,안산사업장,안,81,70,11,5,1,4586,215,84,1018,654,97,1
2024-05,안산사업장,안,43,35,8,4,5,5168,282,51,904,745,75,2
2024-06,안산사업장,안,50,43,7,1,4,3564,112,70,741,992,90,0
2024-07,안산사업장,안,111,89,22,7,3,3964,287,60,1202,1416,89,2
2024-08,안산사업장,안,55,44,11,1,3,4123,351,67,1243,726,78,0
2024-09,안산사업장,안,81,71,10,1,4,4053,212,90,691,516,93,0
2024-10,안산사업장,안,70,60,10,3,4,4620,109,89,1288,783,80,2
2024-11,안산사업장,안,63,52,11,5,0,3578,272,68,1080,915,81,0
2024-12,안산사업장,안,116,100,16,4,0,3586,142,50,1958,907,72,0
2023-01,용인사업장,용,34,28,6,7,1,5450,327,60,935,898,88,2
2023-02,용인사업장,용,57,47,10,1,4,4272,107,59,1491,867,97,0
2023-03,용인사업장,용,37,32,5,0,0,4461,148,85,1905,1335,83,0
2023-04,용인사업장,용,70,62,8,6,5,4266,365,70,1151,1358,77,1
2023-05,용인사업장,용,42,36,6,6,3,4749,110,59,1282,772,77,1
2023-06,용인사업장,용,84,67,17,7,2,4345,223,74,1289,913,89,0
2023-07,용인사업장,용,73,59,14,5,0,4387,221,81,1745,1130,76,0
2023-08,용인사업장,용,41,36,5,1,4,4920,248,57,801,859,83,2
2023-09,용인사업장,용,52,45,7,2,5,4161,334,74,1033,1359,98,0
