기준월,사업장,지역,재직인원,유지보수비(천원),전기료(천원),수도료(천원),가스료(천원),통신비(천원),청소용역비(천원),차량유지비(천원),임차료(천원)
2023-01,수원사업장,수,81,5860,13390,2130,7191,1544,2638,9265,5466
2023-02,수원사업장,수,116,9426,29962,3135,5444,1623,3919,11322,6685
2023-03,수원사업장,수,82,5769,10433,2215,7051,776,2184,7555,8385
2023-04,수원사업장,수,51,11396,16666,2082,4558,1999,3747,3189,7734
2023-05,수원사업장,수,91,9658,9899,4638,3267,1331,2528,6556,8890
2023-06,수원사업장,수,36,19356,22502,2297,4435,1100,3363,11433,15233
2023-07,수원사업장,수,38,12513,10612,3945,3363,591,2390,10099,14670
2023-08,수원사업장,수,73,15748,25159,1034,8349,1604,2955,4585,8943
2023-09,수원사업장,수,33,8073,9021,4461,4613,1629,2500,9873,10675
2023-10,수원사업장,수,63,9297,8995,3317,6911,1794,1455,10629,16990
2023-11,수원사업장,수,91,11439,16529,1878,3076,1291,3264,7859,11331
2023-12,수원사업장,수,70,10276,26446,4884,2064,1020,2367,5027,7695
2024-01,수원사업장,수,117,10258,14736,1391,7794,918,3336,8892,8561
2024-02,수원사업장,수,70,8099,16392,2863,6875,1429,1502,5454,16837
2024-03,수원사업장,수,117,13996,27115,2895,4773,1460,3660,11110,18773
2024-04,수원사업장,수,32,8840,25412,4289,2502,1266,1397,9938,9488
2024-05,수원사업장,수,108,10134,25868,4762,9742,1363,3790,10408,13755
2024-06,수원사업장,수,33,6757,22820,4478,8374,1248,2678,6242,9636
2024-07,수원사업장,수,65,11668,24198,2722,5314,1609,2819,5693,18083
2024-08,수원사업장,수,57,18931,11627,2363,9965,1854,2663,8592,16494
2024-09,수원사업장,수,91,12392,9306,3680,4675,1472,2768,10526,13901
2024-10,수원사업장,수,101,10530,28797,4748,9392,1757,1683,3663,6998
2024-11,수원사업장,수,88,16637,25879,4304,5763,1636,2853,9585,17851
2024-12,수원사업장,수,41,8581,19649,4458,9280,1451,1698,7737,19555
2023-01,남부사업장,성,83,5854,13855,4296,8528,1926,2661,8249,10172
2023-02,남부사업장,성,73,15969,13791,2733,7535,746,1835,6510,5202
2023-03,남부사업장,성,85,9218,20688,1766,6389,779,3931,10777,5197
2023-04,남부사업장,성,115,6930,19774,3799,8287,1108,2147,7282,16589
2023-05,남부사업장,성,109,14986,25043,3811,9098,902,2369,4986,18822
2023-06,남부사업장,성,48,16411,10911,2734,3843,988,3976,4959,10759
2023-07,남부사업장,성,68,7385,19111,1640,3802,972,2969,8534,9061
2023-08,남부사업장,성,71,18922,24646,2787,8287,845,1623,5049,10423
2023-09,남부사업장,성,41,9548,27492,2183,6090,1514,3056,10400,8170
2023-10,남부사업장,성,48,7255,9154,1403,8295,553,2696,4648,10539
2023-11,남부사업장,성,67,9199,23586,4183,4557,1996,1098,5200,19172
2023-12,남부사업장,성,47,19207,29357,1337,5777,1321,1956,11352,10699
2024-01,남부사업장,성,62,9493,29295,4987,3527,1915,2158,4218,9496
2024-02,남부사업장,성,62,15927,12555,1954,6565,1898,2045,9893,6693
2024-03,남부사업장,성,67,19565,11436,1562,4485,1806,3074,3225,9893
2024-04,남부사업장,성,57,12022,17151,2504,6548,1519,1815,10683,9642
2024-05,남부사업장,성,93,16312,15679,1016,9339,1743,3205,4069,8444
2024-06,남부사업장,성,35,19434,9060,3327,5420,996,1301,3606,8170
2024-07,남부사업장,성,89,10088,8190,3300,2980,1427,3006,4184,8327
2024-08,남부사업장,성,96,13319,9816,2758,8709,1069,2346,4895,7733
2024-09,남부사업장,성,53,17913,15455,3901,3686,1461,1154,4409,17249
2024-10,남부사업장,성,46,16367,16096,4464,9978,745,2500,8801,7806
2024-11,남부사업장,성,55,10986,26225,1920,4455,1024,3875,8625,7950
2024-12,남부사업장,성,86,17323,12780,1019,4368,1011,1399,9002,11614
2023-01,중부사업장,안,44,18403,21121,2823,4774,1353,1050,6769,5574
2023-02,중부사업장,안,91,6148,17907,1681,6933,1577,3491,6124,10691
2023-03,중부사업장,안,34,10222,29699,1773,2876,1491,3931,7142,11966
2023-04,중부사업장,안,69,12987,14799,1268,6465,1135,2129,4693,14874
2023-05,중부사업장,안,46,13311,25214,2810,5675,1581,2974,11932,13308
2023-06,중부사업장,안,91,7838,9150,4464,3931,1512,2664,4081,17921
2023-07,중부사업장,안,30,16041,21407,4709,7237,1059,1487,10404,18184
2023-08,중부사업장,안,45,18500,28454,1703,3470,1080,3837,10004,15486
2023-09,중부사업장,안,96,8147,28633,2679,5506,1496,3744,8188,16310
2023-10,중부사업장,안,91,16251,19151,3265,8617,931,3388,10421,14949
2023-11,중부사업장,안,52,10881,22069,4908,9267,1301,3809,5489,14823
2023-12,중부사업장,안,30,14207,17540,1515,5087,1291,1335,8878,19593
2024-01,중부사업장,안,61,16738,8851,2687,3931,1189,3427,7000,10052
2024-02,중부사업장,안,80,16690,13387,4906,9744,1940,2191,6913,6066
2024-03,중부사업장,안,73,9380,18636,1011,7726,1825,3546,11945,7082
2024-04,중부사업장,안,116,16088,24281,4017,3625,1521,1417,11306,13808
2024-05,중부사업장,안,36,8267,25209,4572,7745,1598,1412,10543,12587
2024-06,중부사업장,안,118,16540,19657,2892,4504,1419,3239,5786,6122
2024-07,중부사업장,안,65,10073,13104,3143,3687,1162,1036,6440,8766
2024-08,중부사업장,안,42,15518,22552,3914,6968,1796,3109,11787,19191
2024-09,중부사업장,안,118,6365,28876,1698,9186,676,2635,3395,19780
2024-10,중부사업장,안,48,9171,12360,3502,3819,1217,3782,7946,16769
2024-11,중부사업장,안,45,9980,12491,4096,9091,1390,2492,10651,8636
2024-12,중부사업장,안,52,6167,9062,3156,9860,1565,2209,9541,16486
2023-01,안산사업장,안,34,12330,13334,1732,6330,1157,1750,9731,12241
2023-02,안산사업장,안,87,7539,15056,4324,5301,1697,2676,4191,11313
2023-03,안산사업장,안,38,16185,27065,2217,3540,528,2445,4365,13691
2023-04,안산사업장,안,46,13702,15494,1216,3324,1655,2827,6141,12419
2023-05,안산사업장,안,60,6810,14588,3923,7301,666,1090,11905,10977
2023-06,안산사업장,안,48,17326,23485,4522,6268,1152,1753,6709,14273
2023-07,안산사업장,안,49,11619,21116,1894,3384,1524,3434,3504,6214
2023-08,안산사업장,안,54,5823,25312,1933,7236,633,3105,6627,17972
2023-09,안산사업장,안,61,11316,9852,1814,7268,579,3933,8348,18987
2023-10,안산사업장,안,48,18843,19704,4473,8190,1756,2549,6486,8584
2023-11,안산사업장,안,83,13053,11330,3703,2470,1470,2035,4353,15975
2023-12,안산사업장,안,45,10063,8667,1372,7127,1645,2371,9819,17377
2024-01,안산사업장,안,37,7745,15483,4249,2539,1231,1868,7835,8775
2024-02,안산사업장,안,56,19837,15312,2224,7024,960,3779,3924,16148
2024-03,안산사업장,안,75,12714,27708,1389,7713,1382,1255,7804,6838
2024-04,안산사업장,안,54,19785,8009,3871,2797,1765,1876,8124,6015
2024-05,안산사업장,안,62,17661,10193,1223,7358,676,2802,10449,9158
2024-06,안산사업장,안,118,8925,14970,3842,6784,1984,2633,10266,13702
2024-07,안산사업장,안,30,5404,16175,3870,6613,975,3000,8989,6460
2024-08,안산사업장,안,52,12140,11636,3724,6809,1981,1082,10245,11600
2024-09,안산사업장,안,30,17338,29164,1716,9939,1969,1448,7976,17775
2024-10,안산사업장,안,61,15273,11419,3142,9239,653,1249,11865,17725
2024-11,안산사업장,안,32,17154,12363,2984,3077,735,1388,10901,9858
2024-12,안산사업장,안,86,11544,29103,3814,5374,1418,2252,9996,17173
2023-01,용인사업장,용,95,15314,28914,3150,9589,1263,3785,9949,14521
2023-02,용인사업장,용,111,11941,18209,2331,6344,665,2358,8115,9637
2023-03,용인사업장,용,80,15320,26564,1796,9043,637,3231,6472,10449
2023-04,용인사업장,용,46,8579,12164,3593,9941,552,2473,7300,11269
2023-05,용인사업장,용,72,17015,20234,2906,8254,1260,3895,9238,11090
2023-06,용인사업장,용,45,12687,20647,3947,3719,780,2887,6266,5666
2023-07,용인사업장,용,61,15161,19314,4474,9956,1528,2489,7777,8900
2023-08,용인사업장,용,51,18716,14981,4584,8788,732,1523,5393,16309
2023-09,용인사업장,용,63,15160,22124,4994,9240,1293,3296,9190,10240
2023-10,용인사업장,용,115,15478,20394,3878,6143,836,2049,4276,10811
2023-11,용인사업장,용,108,5302,25022,1055,6821,1025,1473,11150,7125
2023-12,용인사업장,용,117,5364,14809,1525,8842,1835,1882,8126,10122
2024-01,용인사업장,용,52,7797,13870,2531,5345,1305,3786,4906,8086
2024-02,용인사업장,용,93,13152,13750,1484,4075,1213,2062,4976,6296
2024-03,용인사업장,용,115,12641,24509,3859,6632,644,3072,10561,13258
2024-04,용인사업장,용,47,15350,14371,1110,3493,533,1622,10943,17199
2024-05,용인사업장,용,112,7472,27123,2305,9487,1966,2975,3876,19277
2024-06,용인사업장,용,62,6460,26117,2605,7622,1123,3563,9986,8517
2024-07,용인사업장,용,91,15589,21918,4735,4870,1660,1758,11434,7590
2024-08,용인사업장,용,69,9324,18787,1919,7342,505,1467,11195,10966
2024-09,용인사업장,용,35,5117,21917,3551,8117,1446,3621,8560,9289
2024-10,용인사업장,용,108,15954,21703,4097,7554,672,2668,9469,18721
2024-11,용인사업장,용,97,15002,24608,1531,6208,639,1558,5048,11233
2024-12,용인사업장,용,43,17607,17765,2828,3917,638,3892,5026,19594
2023-01,오산사업장,화,62,14093,20977,3039,2009,760,2942,5219,12041
2023-02,오산사업장,화,42,10287,9619,1320,3342,828,3832,5824,6994
2023-03,오산사업장,화,44,19231,11490,4677,3118,817,1235,4908,13567
2023-04,오산사업장,화,104,10256,27019,2570,4560,1819,3965,8951,10468
2023-05,오산사업장,화,101,17042,17064,2252,8413,1297,2314,7820,19340
2023-06,오산사업장,화,112,12546,8077,4481,4621,631,1600,4065,7136
2023-07,오산사업장,화,47,15535,17510,1615,5597,1299,3469,8984,10142
2023-08,오산사업장,화,92,7190,17184,3712,4192,1748,1502,7033,6997
2023-09,오산사업장,화,82,8687,12018,4110,3970,697,2669,4202,13135
2023-10,오산사업장,화,71,10567,23374,2646,7788,1812,3035,11669,14446
2023-11,오산사업장,화,56,5419,26588,3597,9608,1620,1950,5336,10373
2023-12,오산사업장,화,97,7645,12612,2658,3865,1364,2141,9028,12326
2024-01,오산사업장,화,76,11371,14359,3995,9863,514,3094,5371,7891
2024-02,오산사업장,화,74,9225,23770,1094,4674,1254,2955,3793,15026
2024-03,오산사업장,화,56,7116,13779,1010,5325,1371,3597,9166,5814
2024-04,오산사업장,화,119,15541,10443,3265,4188,1457,1984,10790,14831
2024-05,오산사업장,화,89,15922,27915,4051,6451,1507,2347,6876,10959
2024-06,오산사업장,화,60,16641,29493,1050,9196,1985,3826,4792,16053
2024-07,오산사업장,화,50,8417,9645,3467,3205,1482,3872,6072,6854
2024-08,오산사업장,화,83,9662,14514,1935,8030,1160,2332,11393,8507
2024-09,오산사업장,화,86,9212,21224,4874,2574,743,1536,4625,15314
2024-10,오산사업장,화,67,13577,16070,4281,2474,917,3394,6600,11783
2024-11,오산사업장,화,72,14146,12971,1762,7298,1705,1663,4990,10299
2024-12,오산사업장,화,99,8572,21472,3224,6380,562,2002,7757,7713
2023-01,부천사업장,평,57,10588,25350,1848,7203,1884,1688,7243,8701
2023-02,부천사업장,평,115,19811,29566,2724,7479,1060,1326,4759,16404
2023-03,부천사업장,평,116,7482,8951,1722,5389,531,3717,7524,14692
2023-04,부천사업장,평,59,12311,26449,1768,8733,1894,1193,9645,10083
2023-05,부천사업장,평,67,14138,29310,4715,8016,1787,3972,11038,18087
2023-06,부천사업장,평,39,6481,18093,3209,5451,586,1054,10643,15015
2023-07,부천사업장,평,79,8462,23708,4079,2832,812,3806,8954,19295
2023-08,부천사업장,평,116,15682,24380,1327,9221,1260,3626,10218,12776
2023-09,부천사업장,평,37,12970,10143,2111,9245,1811,3861,5538,17175
2023-10,부천사업장,평,97,10619,16356,1181,8612,1409,3782,3822,5943
2023-11,부천사업장,평,111,11150,12425,1774,9840,650,1146,6695,8452
2023-12,부천사업장,평,48,18859,25692,3747,6177,1013,2920,9852,11035
2024-01,부천사업장,평,40,9841,23358,2409,6802,970,1395,4555,19596
2024-02,부천사업장,평,66,18221,9279,2757,7000,1749,2076,10083,10986
2024-03,부천사업장,평,115,6387,20880,3761,9325,1131,3106,11173,9223
2024-04,부천사업장,평,110,17145,11186,4280,4573,1020,3599,7033,13428
2024-05,부천사업장,평,54,16622,25685,4306,4541,503,3713,11633,15268
2024-06,부천사업장,평,116,13996,24458,3885,9313,627,3089,8475,13232
2024-07,부천사업장,평,67,15273,15184,2700,9320,1497,2401,4622,13041
2024-08,부천사업장,평,115,17244,26458,4896,9454,1145,1730,7263,13801
2024-09,부천사업장,평,41,19060,23156,1454,4953,1924,3969,6028,12643
2024-10,부천사업장,평,91,7681,11629,2599,6225,1519,2845,4386,16968
2024-11,부천사업장,평,80,9788,19555,2394,6889,528,1148,6850,10415
2024-12,부천사업장,평,40,12679,14819,2136,2186,1306,3791,4333,17385
2023-01,인천사업장,시,84,11766,10711,1757,6501,568,2312,10715,13942
2023-02,인천사업장,시,49,6762,23850,4920,9101,864,3026,3481,19536
2023-03,인천사업장,시,55,12617,9524,3120,8856,795,2040,8760,6240
2023-04,인천사업장,시,90,14130,26023,3089,6120,1562,1130,4252,9203
2023-05,인천사업장,시,73,14650,27933,1101,9009,1023,3322,7090,11960
2023-06,인천사업장,시,90,10136,24713,4640,5894,511,2341,11407,5338
2023-07,인천사업장,시,37,17254,27092,4152,3750,873,1709,8319,11609
2023-08,인천사업장,시,118,10387,19918,4642,5993,988,2561,11238,16551
2023-09,인천사업장,시,39,18327,12806,1400,5990,1480,1249,3390,17045
2023-10,인천사업장,시,108,13820,12232,3930,8831,1326,1726,4500,11737
2023-11,인천사업장,시,68,8042,12497,2466,5561,1114,2296,10693,14374
2023-12,인천사업장,시,53,12138,10667,3235,9980,1621,1130,5983,9278
2024-01,인천사업장,시,116,17651,16230,4598,5959,996,2372,3920,12564
2024-02,인천사업장,시,111,17303,21737,2131,9037,1973,1310,11930,8241
2024-03,인천사업장,시,63,15653,12346,1758,3804,1664,2297,6810,19202
2024-04,인천사업장,시,68,14005,24371,1028,7053,976,1317,11436,18035
2024-05,인천사업장,시,86,5271,27895,2771,3262,876,1265,10069,5920
2024-06,인천사업장,시,113,17676,18816,4760,4050,1952,2165,11567,7033
2024-07,인천사업장,시,97,5145,22269,1292,9832,931,1704,11173,19286
2024-08,인천사업장,시,102,9494,23152,4960,9511,1463,3234,4828,15300
2024-09,인천사업장,시,72,9805,8806,2463,9486,1825,1010,4868,19561
2024-10,인천사업장,시,54,12878,22899,1771,7690,1833,1884,6564,6389
2024-11,인천사업장,시,103,12274,25208,3265,2936,1252,3553,9402,19199
2024-12,인천사업장,시,35,6796,16245,4118,2726,1188,2544,4913,19064
