기준월,사업장,지역,재해건수,부상자수,직업병자수,안전교육이수율(%),근골격계예방교육,화학물질안전교육,안전점검횟수,위험요소발굴건수,개선조치완료건수,소방훈련실시,안전보호구지급
2023-01,수원사업장,수,2,2,1,89,완료,완료,4,4,0,완료,완료
2023-02,수원사업장,수,0,1,2,82,미완료,완료,1,10,6,완료,완료
2023-03,수원사업장,수,3,0,0,80,완료,완료,5,14,7,완료,완료
2023-04,수원사업장,수,2,1,2,87,완료,완료,4,8,2,완료,완료
2023-05,수원사업장,수,3,0,0,81,완료,완료,2,10,0,완료,완료
2023-06,수원사업장,수,3,1,1,92,완료,완료,2,9,2,완료,완료
2023-07,수원사업장,수,2,1,0,86,완료,완료,1,7,4,완료,완료
2023-08,수원사업장,수,0,0,1,96,완료,미완료,2,12,3,완료,완료
2023-09,수원사업장,수,1,1,1,93,완료,완료,4,13,6,완료,완료
2023-10,수원사업장,수,1,1,1,90,완료,완료,1,3,1,완료,완료
2023-11,수원사업장,수,0,2,1,87,완료,완료,1,14,2,완료,완료
2023-12,수원사업장,수,0,2,1,91,완료,미완료,3,5,0,완료,완료
2024-01,수원사업장,수,2,0,0,80,미완료,완료,2,9,4,완료,완료
2024-02,수원사업장,수,0,3,2,96,완료,미완료,1,7,3,완료,완료
2024-03,수원사업장,수,1,0,0,95,완료,미완료,3,4,7,완료,완료
2024-04,수원사업장,수,3,2,0,92,완료,완료,2,11,0,완료,완료
2024-05,수원사업장,수,0,3,0,92,완료,완료,4,4,2,완료,완료
2024-06,수원사업장,수,4,3,1,80,완료,완료,3,11,0,완료,완료
2024-07,수원사업장,수,3,2,0,89,완료,완료,2,8,0,완료,완료
2024-08,수원사업장,수,0,2,2,85,완료,완료,5,13,0,미완료,완료
2024-09,수원사업장,수,0,3,2,95,완료,완료,2,14,2,완료,완료
2024-10,수원사업장,수,0,1,0,85,완료,완료,1,3,6,완료,완료
2024-11,수원사업장,수,3,3,2,83,완료,미완료,3,11,7,완료,완료
2024-12,수원사업장,수,0,3,0,83,완료,완료,5,4,1,완료,완료
2023-01,남부사업장,성,3,1,1,87,미완료,완료,4,4,2,미완료,완료
2023-02,남부사업장,성,0,0,2,91,완료,미완료,1,12,2,완료,완료
2023-03,남부사업장,성,4,3,2,90,완료,완료,4,8,7,완료,완료
2023-04,남부사업장,성,0,1,1,96,미완료,완료,1,13,7,완료,미완료
2023-05,남부사업장,성,2,1,2,93,완료,완료,2,12,5,완료,완료
2023-06,남부사업장,성,4,3,0,90,완료,완료,3,4,2,완료,완료
2023-07,남부사업장,성,0,3,2,95,완료,미완료,1,14,2,완료,완료
2023-08,남부사업장,성,1,1,1,83,완료,완료,5,4,0,미완료,완료
2023-09,남부사업장,성,1,1,2,87,완료,완료,4,3,2,완료,완료
2023-10,남부사업장,성,1,1,0,91,완료,완료,5,14,7,완료,완료
2023-11,남부사업장,성,4,3,1,87,완료,완료,3,8,4,완료,완료
2023-12,남부사업장,성,3,0,0,89,미완료,완료,3,4,2,완료,완료
2024-01,남부사업장,성,0,2,0,82,완료,완료,2,3,1,미완료,완료
2024-02,남부사업장,성,4,2,1,83,완료,미완료,2,6,3,완료,완료
2024-03,남부사업장,성,0,0,0,80,완료,미완료,5,11,4,완료,완료
2024-04,남부사업장,성,2,0,2,91,완료,완료,4,9,6,미완료,완료
2024-05,남부사업장,성,4,0,1,83,완료,미완료,2,6,4,완료,완료
2024-06,남부사업장,성,2,3,2,93,완료,완료,4,12,6,완료,완료
2024-07,남부사업장,성,2,3,2,83,완료,완료,2,6,2,완료,완료
2024-08,남부사업장,성,4,3,2,92,완료,완료,1,11,4,완료,완료
2024-09,남부사업장,성,4,0,1,87,완료,완료,5,6,2,완료,완료
2024-10,남부사업장,성,3,3,1,98,완료,완료,5,9,1,완료,완료
2024-11,남부사업장,성,0,3,2,98,완료,완료,3,8,3,미완료,완료
2024-12,남부사업장,성,4,1,0,87,완료,완료,2,12,7,완료,완료
2023-01,중부사업장,안,0,0,2,89,완료,완료,4,11,2,완료,완료
2023-02,중부사업장,안,0,2,0,98,완료,미완료,2,10,6,완료,완료
2023-03,중부사업장,안,0,2,2,86,완료,완료,2,13,0,완료,완료
2023-04,중부사업장,안,3,3,0,82,완료,완료,5,9,7,완료,완료
2023-05,중부사업장,안,3,3,1,96,완료,완료,2,3,5,완료,완료
2023-06,중부사업장,안,2,0,2,85,완료,미완료,3,7,0,완료,완료
2023-07,중부사업장,안,4,3,1,82,미완료,완료,3,12,0,완료,완료
2023-08,중부사업장,안,1,3,1,98,완료,완료,3,4,7,미완료,완료
2023-09,중부사업장,안,3,3,0,96,완료,완료,5,13,3,완료,완료
2023-10,중부사업장,안,0,3,1,84,완료,완료,2,11,2,완료,완료
2023-11,중부사업장,안,3,0,0,99,완료,완료,3,8,4,완료,완료
2023-12,중부사업장,안,1,2,1,88,미완료,완료,5,12,0,완료,완료
2024-01,중부사업장,안,3,1,0,84,완료,완료,1,13,0,완료,완료
2024-02,중부사업장,안,1,1,0,82,완료,완료,2,8,5,완료,완료
2024-03,중부사업장,안,2,0,2,85,완료,완료,4,14,2,완료,완료
2024-04,중부사업장,안,4,1,1,82,완료,완료,1,3,7,완료,완료
2024-05,중부사업장,안,3,2,1,83,미완료,완료,2,7,6,완료,완료
2024-06,중부사업장,안,4,2,1,83,완료,완료,4,3,0,완료,완료
2024-07,중부사업장,안,0,3,2,80,완료,완료,2,8,7,완료,완료
2024-08,중부사업장,안,2,1,1,82,완료,완료,1,14,6,완료,완료
2024-09,중부사업장,안,0,2,1,98,완료,완료,1,11,1,완료,완료
2024-10,중부사업장,안,0,0,2,94,완료,완료,1,11,5,완료,완료
2024-11,중부사업장,안,2,0,1,82,완료,완료,2,9,1,완료,완료
2024-12,중부사업장,안,3,2,2,92,완료,완료,1,9,7,미완료,완료
2023-01,안산사업장,안,1,0,0,85,완료,완료,4,14,0,완료,완료
2023-02,안산사업장,안,2,0,1,90,완료,완료,4,4,3,완료,완료
2023-03,안산사업장,안,1,1,2,90,완료,완료,5,13,5,완료,완료
2023-04,안산사업장,안,0,2,2,93,완료,완료,5,7,0,완료,완료
2023-05,안산사업장,안,2,0,2,99,완료,완료,1,6,3,완료,완료
2023-06,안산사업장,안,0,0,0,99,완료,완료,5,6,5,완료,완료
2023-07,안산사업장,안,0,0,0,88,완료,완료,1,8,4,완료,완료
2023-08,안산사업장,안,2,1,0,88,완료,완료,5,6,6,완료,완료
2023-09,안산사업장,안,4,1,0,85,완료,완료,1,3,5,완료,완료
2023-10,안산사업장,안,1,1,2,98,완료,완료,4,13,5,완료,완료
2023-11,안산사업장,안,2,1,2,87,미완료,완료,1,3,2,완료,완료
2023-12,안산사업장,안,1,0,0,97,완료,완료,1,4,4,완료,완료
2024-01,안산사업장,안,0,0,0,86,완료,완료,5,7,1,완료,완료
2024-02,안산사업장,안,0,2,0,80,완료,완료,1,13,4,완료,완료
2024-03,안산사업장,안,2,3,1,95,완료,완료,1,11,5,완료,완료
2024-04,안산사업장,안,2,1,0,86,완료,완료,2,11,4,완료,완료
2024-05,안산사업장,안,0,3,1,98,완료,완료,4,11,7,미완료,완료
2024-06,안산사업장,안,0,0,0,97,완료,완료,4,13,1,완료,완료
2024-07,안산사업장,안,2,2,1,83,완료,완료,2,13,7,완료,완료
2024-08,안산사업장,안,0,0,2,81,완료,완료,1,6,7,완료,완료
2024-09,안산사업장,안,4,1,2,99,완료,완료,4,13,6,완료,완료
2024-10,안산사업장,안,4,1,0,95,완료,완료,2,6,1,완료,완료
2024-11,안산사업장,안,1,3,1,92,완료,완료,3,11,7,완료,완료
2024-12,안산사업장,안,3,1,2,94,완료,완료,2,14,2,완료,완료
2023-01,용인사업장,용,0,3,1,85,완료,완료,3,3,5,완료,완료
