기준월,사업장,지역,정기점검,긴급점검횟수,발견결함건수,결함조치율(%),설비고장건수,고장복구시간(시간),일상점검실시,환경설비상태,소방시설점검
2023-01,수원사업장,수,미실시,2,3,96,7,47,미완료,보통,완료
2023-02,수원사업장,수,완료,4,3,73,5,16,미완료,미흡,완료
2023-03,수원사업장,수,완료,0,1,72,3,1,미완료,미흡,완료
2023-04,수원사업장,수,진행중,2,2,94,9,11,미완료,우수,완료
2023-05,수원사업장,수,미실시,4,8,71,7,9,완료,우수,완료
2023-06,수원사업장,수,완료,2,2,64,9,10,미완료,보통,완료
2023-07,수원사업장,수,진행중,1,19,93,2,7,완료,보통,완료
2023-08,수원사업장,수,완료,1,5,91,3,33,미완료,미흡,완료
2023-09,수원사업장,수,미실시,0,12,70,5,22,완료,양호,완료
2023-10,수원사업장,수,진행중,3,14,88,7,36,완료,미흡,완료
2023-11,수원사업장,수,진행중,4,6,77,5,36,미완료,보통,완료
2023-12,수원사업장,수,진행중,1,15,77,6,32,미완료,양호,완료
2024-01,수원사업장,수,진행중,3,1,89,8,15,완료,우수,완료
2024-02,수원사업장,수,완료,4,19,83,9,44,완료,양호,완료
2024-03,수원사업장,수,진행중,4,5,64,6,27,미완료,우수,완료
2024-04,수원사업장,수,진행중,2,8,88,5,38,미완료,양호,완료
2024-05,수원사업장,수,완료,3,10,92,5,10,완료,우수,완료
2024-06,수원사업장,수,미실시,1,3,70,1,0,완료,보통,완료
2024-07,수원사업장,수,미실시,0,10,97,3,2,완료,보통,완료
2024-08,수원사업장,수,진행중,3,9,64,8,1,미완료,미흡,완료
2024-09,수원사업장,수,미실시,1,17,71,3,20,완료,보통,미완료
2024-10,수원사업장,수,완료,2,9,64,9,20,완료,양호,완료
2024-11,수원사업장,수,진행중,4,14,75,0,15,완료,보통,완료
2024-12,수원사업장,수,미실시,4,15,80,1,26,미완료,양호,완료
2023-01,남부사업장,성,미실시,0,10,67,7,32,완료,보통,완료
2023-02,남부사업장,성,완료,2,19,67,9,45,완료,양호,완료
2023-03,남부사업장,성,완료,1,9,88,5,15,미완료,미흡,완료
2023-04,남부사업장,성,완료,0,7,88,5,27,미완료,양호,완료
2023-05,남부사업장,성,완료,0,8,86,7,12,미완료,우수,완료
2023-06,남부사업장,성,미실시,3,7,82,4,41,완료,양호,완료
2023-07,남부사업장,성,미실시,1,13,61,8,8,완료,보통,미완료
2023-08,남부사업장,성,진행중,1,19,84,5,2,미완료,우수,완료
2023-09,남부사업장,성,완료,1,17,82,1,11,미완료,우수,완료
2023-10,남부사업장,성,완료,0,16,60,4,44,미완료,우수,완료
2023-11,남부사업장,성,진행중,2,11,85,0,23,완료,양호,완료
2023-12,남부사업장,성,미실시,0,18,74,8,33,완료,우수,완료
2024-01,남부사업장,성,미실시,3,10,64,2,12,미완료,보통,완료
2024-02,남부사업장,성,미실시,0,9,82,6,38,완료,미흡,완료
2024-03,남부사업장,성,진행중,0,4,74,1,40,완료,보통,완료
2024-04,남부사업장,성,진행중,4,3,91,0,34,미완료,양호,완료
2024-05,남부사업장,성,완료,0,15,78,0,4,미완료,보통,완료
2024-06,남부사업장,성,미실시,4,19,96,4,35,미완료,미흡,미완료
