기준월,사업장,지역,도시가스사용량(천m3),도시가스요금(천원),전력사용량(kWh),전기요금(천원),수도사용량(톤),수도요금(천원),에너지효율등급,절감목표달성률(%),탄소배출량(tCO2)
2023-01,수원사업장,수,1565,25882,29041,39098,374,2471,4등급,117,162
2023-02,수원사업장,수,1743,15696,23543,22615,151,4957,3등급,118,110
2023-03,수원사업장,수,2444,42651,17833,11893,465,3699,3등급,116,95
2023-04,수원사업장,수,1099,31199,35868,18792,480,1117,1등급,83,124
2023-05,수원사업장,수,2003,24342,34941,23945,110,4419,1등급,102,222
2023-06,수원사업장,수,1290,29953,27130,41086,412,1537,1등급,108,260
2023-07,수원사업장,수,2881,46386,35373,30827,372,4010,4등급,108,222
2023-08,수원사업장,수,2626,24327,10946,24693,205,1506,5등급,117,113
2023-09,수원사업장,수,2764,46358,42021,38369,268,1329,2등급,86,289
2023-10,수원사업장,수,880,21569,23029,32490,407,1672,1등급,113,53
2023-11,수원사업장,수,1412,27027,18693,18921,359,4584,2등급,88,238
2023-12,수원사업장,수,790,42263,38412,27303,391,2969,4등급,106,81
2024-01,수원사업장,수,2369,10507,11436,37151,454,1558,3등급,110,53
2024-02,수원사업장,수,920,23840,47167,15037,138,4560,4등급,109,207
2024-03,수원사업장,수,1801,17370,16411,49133,391,2553,2등급,86,50
2024-04,수원사업장,수,2930,20073,45414,15209,336,3437,4등급,87,201
2024-05,수원사업장,수,518,19316,22177,20846,353,2380,1등급,112,251
2024-06,수원사업장,수,2047,17797,18346,29878,492,2269,5등급,91,296
2024-07,수원사업장,수,2064,11184,44493,34846,357,2715,5등급,97,52
2024-08,수원사업장,수,1658,36347,43189,48308,285,3411,3등급,110,171
2024-09,수원사업장,수,1079,23009,37843,39793,192,3007,2등급,85,219
2024-10,수원사업장,수,2090,48650,32366,38557,266,2435,4등급,88,235
2024-11,수원사업장,수,928,16559,29158,40916,141,4124,3등급,89,88
2024-12,수원사업장,수,1389,10924,36478,15506,438,1777,4등급,108,256
2023-01,남부사업장,성,534,21781,15515,46133,176,4420,3등급,82,185
2023-02,남부사업장,성,2669,18531,47038,32403,278,1596,3등급,87,136
2023-03,남부사업장,성,1856,16477,27400,16470,114,1838,2등급,101,201
2023-04,남부사업장,성,2660,24308,36027,40720,365,2514,1등급,104,99
2023-05,남부사업장,성,2559,42088,38112,36299,253,2517,1등급,115,170
2023-06,남부사업장,성,2718,38805,24318,36026,124,2553,5등급,93,77
2023-07,남부사업장,성,1842,48328,28610,11079,254,2695,1등급,119,273
2023-08,남부사업장,성,967,17235,27197,31473,422,3969,5등급,92,246
2023-09,남부사업장,성,647,11141,35425,29281,165,3038,5등급,91,288
2023-10,남부사업장,성,1637,44552,13786,31650,134,1998,5등급,105,287
2023-11,남부사업장,성,1537,24892,19643,19943,332,1704,3등급,101,200
2023-12,남부사업장,성,2373,30918,38379,35274,388,3962,4등급,116,203
2024-01,남부사업장,성,2134,23921,42894,15602,267,3639,5등급,102,103
2024-02,남부사업장,성,918,30923,18876,12887,335,2462,5등급,105,281
2024-03,남부사업장,성,584,16040,20304,40341,250,1626,3등급,102,145
2024-04,남부사업장,성,1681,32092,10490,13729,442,4534,1등급,100,106
2024-05,남부사업장,성,1418,44650,31292,45755,187,4954,3등급,86,99
2024-06,남부사업장,성,1955,28771,45461,39320,344,3156,1등급,110,70
2024-07,남부사업장,성,795,12159,23900,21440,442,4731,5등급,107,194
2024-08,남부사업장,성,527,33464,40232,18488,233,4402,1등급,117,183
2024-09,남부사업장,성,2464,28061,12881,39863,358,2526,5등급,114,274
2024-10,남부사업장,성,2054,17036,49255,32499,252,3476,1등급,113,138
2024-11,남부사업장,성,2435,36337,10220,14818,124,1527,3등급,88,178
2024-12,남부사업장,성,980,28255,34299,11462,133,1344,5등급,85,70
2023-01,중부사업장,안,2157,24175,16191,27898,138,3334,2등급,89,79
2023-02,중부사업장,안,2540,33283,31435,37223,343,1380,1등급,110,64
2023-03,중부사업장,안,1015,11191,42264,16297,487,4280,3등급,84,296
2023-04,중부사업장,안,1287,48990,19873,27006,357,4676,5등급,83,219
2023-05,중부사업장,안,1618,47480,39703,10066,290,4437,1등급,109,166
2023-06,중부사업장,안,2814,48498,21772,33849,496,2187,5등급,91,86
2023-07,중부사업장,안,1597,34648,42966,37777,345,4895,4등급,102,152
